Code,Abudefduf.bengalensis,Abudefduf.sexfasciatus,Abudefduf.vaigiensis,Acanthistius.serratus,Acanthurus.grammoptilus,Aluterus.scriptus,Amphiprion.clarkii,Anampses.geographicus,Anoplocapros.robustus,Antennarius.hispidus,Apogon.rueppellii,Apogon.sp1,Apogon.spp,Apogonidae.sp1,Aulopus.purpurissatus,Austrolabrus.maculatus,Bodianus.axillaris,Bodianus.bilunulatus,Bodianus.frenchii,Bodianus.perditio,Caesioscorpis.theagenes,Carangoides.fulvoguttatus,Carcharhinidae.sp1,Carcharhinus.obscurus,Carcharhinus.plumbeus,Centropyge.tibicen,Cephalopholis.miniata,Cephalopholis.sonnerati,Chaetodon.assarius,Chaetodon.aureofasciatus,Chaetodon.auriga,Chaetodon.lunula,Chaetodon.plebeius,Chaetodon.speculum,Chaetodon.trifascialis,Chaetodontoplus.personifer,Cheilodactylus.gibbosus,Cheilodactylus.rubrolabiatus,Chelmonops.curiosus,Chlorurus.microrhinos,Chlorurus.sordidus,Choerodon.cauteroma,Choerodon.jordani,Choerodon.rubescens,Chromis.viridis,Chromis.westaustralis,Chrysophrys.auratus,Cirrhilabrus.temminckii,Cirrhitichthys.falco,Coris.auricularis,Coris.aygula,Coris.caudimacula,Coris.dorsomacula,Dascyllus.aruanus,Dascyllus.reticulatus,Dascyllus.trimaculatus,Decapterus.sp1,Diagramma.labiosum,Echeneis.naucrates,Epibulus.insidiator,Epinephelides.armatus,Epinephelus.bilobatus,Epinephelus.coioides,Epinephelus.fasciatus,Epinephelus.rivulatus,Eubalichthys.caeruleoguttatus,Eubalichthys.cyanoura,Eubalichthys.mosaicus,Glaucosoma.hebraicum,Gnathanodon.speciosus,Gomphosus.varius,Grammatorcynus.bicarinatus,Gymnothorax.flavimarginatus,Gymnothorax.woodwardi,Hemigymnus.fasciatus,Hemigymnus.melapterus,Heniochus.acuminatus,Heterodontus.portusjacksoni,Kyphosus.cornelii,Kyphosus.sydneyanus,Labracinus.lineatus,Labroides.dimidiatus,Lagocephalus.sceleratus,Lethrinus.atkinsoni,Lethrinus.genivittatus,Lethrinus.miniatus,Lethrinus.nebulosus,Lethrinus.punctulatus,Lethrinus.sp,Lutjanus.bitaeniatus,Lutjanus.bohar,Lutjanus.lemniscatus,Lutjanus.quinquelineatus,Microcanthus.strigatus,Monacanthidae.sp1,Monacanthus.chinensis,Naso.unicornis,Neatypus.obliquus,Notolabrus.parilus,Orectolobus.hutchinsi,Orectolobus.sp,Parapercis.nebulosa,Parma.mccullochi,Parma.occidentalis,Parupeneus.chrysopleuron,Parupeneus.indicus,Parupeneus.spilurus,Pentapodus.nagasakiensis,Pentapodus.vitta,Platycephalus.speculator,Plectorhinchus.flavomaculatus,Plectropomus.leopardus,Pomacanthus.semicirculatus,Pomacentrus.milleri,Pseudocaranx.dinjerra,Pseudocaranx.spp,Pterois.volitans,Rhabdosargus.sarba,Scarus.chameleon,Scarus.frenatus,Scarus.ghobban,Scarus.rivulatus,Scarus.rubroviolaceus,Scarus.schlegeli,Scarus.sp1,Scomberomorus.commerson,Scomberomorus.queenslandicus,Scomberomorus.spp,Scombridae.spp,Scorpis.georgiana,Seriola.dumerili,Seriola.hippos,Seriola.lalandi,Siganus.fuscescens,Sphyraena.obtusata,Stegastes.obreptus,Stethojulis.strigiventer,Suezichthys.cyanolaemus,Symphorus.nematophorus,Thalassoma.lunare,Thalassoma.lutescens,Tilodon.sexfasciatum,Torquigener.sp1,Trachinops.brauni,Trachurus.novaezelandiae,Trygonoptera.ovalis,Variola.louti,Zebrasoma.scopas,Zebrasoma.veliferum,,Opcode,Status,Site,Location,Year
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD1c,Fished,Rat.Is.,Easter,2010
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD2a,Fished,Suomi.Is.,Easter,2010
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD2b,Fished,Woody.Is.,Easter,2010
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD2c,Fished,Rat.Is.,Easter,2010
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD3a,Fished,Suomi.Is.,Easter,2010
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD3b,Fished,Woody.Is.,Easter,2010
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD3c,Fished,Rat.Is.,Easter,2010
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD4a,Fished,Suomi.Is.,Easter,2010
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD4b,Fished,Woody.Is.,Easter,2010
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10EFD4c,Fished,Rat.Is.,Easter,2010
