"Code","Opcode","Status","Location","Site","Year","Abudefduf.bengalensis","Aluterus.scriptus","Aulopus.purpurissatus","Bodianus.bilunulatus","Bodianus.frenchii","Bodianus.perditio","Carangoides.fulvoguttatus","Carcharhinidae.sp1","Carcharhinus.obscurus","Carcharhinus.plumbeus","Cephalopholis.miniata","Cephalopholis.sonnerati","Chaetodon.assarius","Cheilodactylus.gibbosus","Cheilodactylus.rubrolabiatus","Chlorurus.microrhinos","Chlorurus.sordidus","Choerodon.cauteroma","Choerodon.rubescens","Chrysophrys.auratus","Coris.auricularis","Coris.aygula","Decapterus.sp1","Diagramma.labiosum","Echeneis.naucrates","Epinephelides.armatus","Epinephelus.bilobatus","Epinephelus.coioides","Epinephelus.fasciatus","Epinephelus.rivulatus","Eubalichthys.caeruleoguttatus","Eubalichthys.mosaicus","Glaucosoma.hebraicum","Gnathanodon.speciosus","Grammatorcynus.bicarinatus","Gymnothorax.flavimarginatus","Gymnothorax.woodwardi","Hemigymnus.melapterus","Heterodontus.portusjacksoni","Kyphosus.cornelii","Kyphosus.sydneyanus","Lagocephalus.sceleratus","Lethrinus.atkinsoni","Lethrinus.miniatus","Lethrinus.nebulosus","Lethrinus.punctulatus","Lethrinus.sp","Lutjanus.bitaeniatus","Lutjanus.bohar","Lutjanus.lemniscatus","Naso.unicornis","Orectolobus.hutchinsi","Orectolobus.sp","Parupeneus.chrysopleuron","Parupeneus.spilurus","Plectorhinchus.flavomaculatus","Plectropomus.leopardus","Pomacanthus.semicirculatus","Pseudocaranx.dinjerra","Pseudocaranx.spp","Scarus.frenatus","Scarus.ghobban","Scarus.rivulatus","Scarus.rubroviolaceus","Scarus.schlegeli","Scomberomorus.commerson","Scomberomorus.queenslandicus","Scomberomorus.spp","Scombridae.spp","Scorpis.georgiana","Seriola.dumerili","","Seriola.hippos","Seriola.lalandi","Symphorus.nematophorus","Thalassoma.lutescens","Variola.louti"
1,"10EFD1b","Fished","Easter","Woody.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
2,"10EFD1c","Fished","Easter","Rat.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0"
3,"10EFD2a","Fished","Easter","Suomi.Is.","2010","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
4,"10EFD2b","Fished","Easter","Woody.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","","1","0","0","0","0"
5,"10EFD2c","Fished","Easter","Rat.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
6,"10EFD3a","Fished","Easter","Suomi.Is.","2010","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
7,"10EFD3b","Fished","Easter","Woody.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
8,"10EFD3c","Fished","Easter","Rat.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
9,"10EFD4a","Fished","Easter","Suomi.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
10,"10EFD4b","Fished","Easter","Woody.Is.","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
